participant_alias,wallet_type,public_address_or_consented_identifier,interaction_type,transaction_hash,contract_id,ledger,timestamp,explorer_url,verification_status,consent_for_public_display
P01,Freighter,GDCOXU2W5HXF7HOHOFKLUJCTSWOCSZN6SLRY7FN45QAHNPDCHUWXKERT,signal_vote,7cc40089c8013099d6f88ef8c2800f81acfb31eb420a3e4e3587f8ae6d74ac7e,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4172733,2026-08-16T13:03:27Z,https://stellar.expert/explorer/testnet/tx/7cc40089c8013099d6f88ef8c2800f81acfb31eb420a3e4e3587f8ae6d74ac7e,verified_rpc_horizon_event,true
P02,Freighter,GDR7JIAOM5F3MHNMNV4ZC7LINQQAMK2HQPHOKP7KPDRINSBKSNAF3JDU,signal_vote,d520f326b29191843b321f6059729712749f25ffb73d8e1498f57fe2a750edb7,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4172874,2026-08-16T13:15:13Z,https://stellar.expert/explorer/testnet/tx/d520f326b29191843b321f6059729712749f25ffb73d8e1498f57fe2a750edb7,verified_rpc_horizon_event,true
P03,Freighter,GBQRAWAAWGSS2G5G4BWAN3XJBGGEXYDJM66S7Z6TPULGLEDC7RE2O4PW,signal_vote,996f55cc5d30c4e0c3500dbdc6ba2f80e72e912c091f64cd976453e2a75ba223,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4173761,2026-08-16T14:29:15Z,https://stellar.expert/explorer/testnet/tx/996f55cc5d30c4e0c3500dbdc6ba2f80e72e912c091f64cd976453e2a75ba223,verified_rpc_horizon_event,true
P04,Freighter,GBBBE2KRAQX6VVVEIYURSQAWLGE6VU6Z7EZFHMFO6OHGDZWDN4KCYWU6,signal_vote,01aad71eaf2eae798aae17d380eb77075c4e02c56133e955ed855987160d9034,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4173994,2026-08-16T14:48:42Z,https://stellar.expert/explorer/testnet/tx/01aad71eaf2eae798aae17d380eb77075c4e02c56133e955ed855987160d9034,verified_rpc_horizon_event,true
P05,Freighter,GCHRJBCKRYB2CLCPXBFEGU6NBC5XV73FVZ7PGZLXRFJMP6KA5JA76LZU,signal_vote,54be143098258e3cadca4b06d60d76212877996863c0d1dbfaa85e8ed18d5b06,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4174093,2026-08-16T14:56:58Z,https://stellar.expert/explorer/testnet/tx/54be143098258e3cadca4b06d60d76212877996863c0d1dbfaa85e8ed18d5b06,verified_rpc_horizon_event,true
P06,Freighter,GC4UEBNXRGHCFWWUQGLOXDVUAA5IAVVNSPOJ2XFCRHUOADKMBICSEOGI,signal_vote,7621d45ceabb6f52f65c1206b7c8d786d6600e6a605031bf66aa4f41078d76fd,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4174528,2026-08-16T15:33:16Z,https://stellar.expert/explorer/testnet/tx/7621d45ceabb6f52f65c1206b7c8d786d6600e6a605031bf66aa4f41078d76fd,verified_rpc_horizon_event,true
P07,Freighter,GAOG2W4MQEC3JN63ZPUMZM2SLLQBKBCJGGYAV4ZLW7R34Q6FV5OZZ35Z,signal_vote,de6fa1decef191196aad7904a45244966dec2ccf1c225ef680943047177effc8,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4174525,2026-08-16T15:33:01Z,https://stellar.expert/explorer/testnet/tx/de6fa1decef191196aad7904a45244966dec2ccf1c225ef680943047177effc8,verified_rpc_horizon_event,true
P08,Freighter,GBRQNSJLUW7F6PB5LBRUDBEDD3DVG4DWI5QNBTBVAAA63LLCD47JVOXG,signal_vote,86e5b3699b9ec10442c2baa261f22282e50a09e916557ae0801a8d48703aaf36,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4174613,2026-08-16T15:40:22Z,https://stellar.expert/explorer/testnet/tx/86e5b3699b9ec10442c2baa261f22282e50a09e916557ae0801a8d48703aaf36,verified_rpc_horizon_event,true
P09,Freighter,GBPY4HX4D2PXTOQQKGXLGF6YUCLPILMMZF6VF5I6TLT6QHPRXJZGHBEP,signal_vote,d3d9cd9c8adb152e79d0e6b19260d3ad77962066ad17d575c7c83d6496449ed2,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4176338,2026-08-16T18:04:21Z,https://stellar.expert/explorer/testnet/tx/d3d9cd9c8adb152e79d0e6b19260d3ad77962066ad17d575c7c83d6496449ed2,verified_rpc_horizon_event,true
P10,Freighter,GDTBW7HO36O7QOLLGRAXKC3XKEHNF47P5VS76XSYKFP5TKT6ONFPSRIQ,signal_vote,b8ab9fff51e089944c75eecbe8a71e371fa9b8939106dbe878861e99c2516bd3,CBHWJQ6Q4FAKCTC5IOS5YJDB2AOP5EF4SE6ODOLACCZZ2B3GV34J3YIP,4176452,2026-08-16T18:13:52Z,https://stellar.expert/explorer/testnet/tx/b8ab9fff51e089944c75eecbe8a71e371fa9b8939106dbe878861e99c2516bd3,verified_rpc_horizon_event,true
